IPV6移动专用,#genre#
凤凰卫视,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8?icpid=88888888&from=9&vqe=3&RTS=1717808908&hms_devid=2450&online=1717808908
凤凰资讯台,http://[2409:8087:280c:23::14]/wh7f454c46tw3724133113_1590560438/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8?icpid=88888888&from=9&vqe=3&RTS=1717810253&hms_devid=1937&online=1717810253
浙江新闻,http://[2409:8087:280c:2020:200::2c]/wh7f454c46tw321139774_-420728049/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233052/1/index.m3u8?fmt=ts2hls&icpid=88888888&RTS=1717811145&from=9&ocs=2_2409:8087:280c:22::2c_80&hms_devid=517&online=1717811145&vqe=3
浙江民生台,http://[2409:8087:280c:2020:200::35]/wh7f454c46tw342882660_-93750147/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232996/1/index.m3u8?fmt=ts2hls&icpid=88888888&RTS=1717811167&from=9&ocs=2_2409:8087:280c:22::24_80&hms_devid=511&online=1717811167&vqe=3
浙江教科,http://[2409:8087:280c:2020:200::30]/wh7f454c46tw358501450_1522213254/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233002/1/index.m3u8?fmt=ts2hls&icpid=88888888&RTS=1717811183&from=9&ocs=2_2409:8087:280c:22::2c_80&hms_devid=512&online=1717811183&vqe=3
浙江钱江,http://[2409:8087:280c:2020:200::33]/wh7f454c46tw373458353_1070779235/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233005/1/index.m3u8?fmt=ts2hls&icpid=88888888&RTS=1717811198&from=9&ocs=2_2409:8087:280c:22::2a_80&hms_devid=517&online=1717811198&vqe=3
浙江经济,http://[2409:8087:280c:2020:200::2c]/wh7f454c46tw393608094_-2003741232/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233008/1/index.m3u8?fmt=ts2hls&icpid=88888888&RTS=1717811218&from=9&ocs=2_2409:8087:280c:22::24_80&hms_devid=517&online=1717811218&vqe=3
浙江少儿,http://[2409:8087:280c:2020:200::33]/wh7f454c46tw409004639_-1117500499/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221233011/1/index.m3u8?fmt=ts2hls&icpid=88888888&RTS=1717811233&from=9&ocs=2_2409:8087:280c:23::10_80&hms_devid=517&online=1717811233&vqe=3
之江纪录,http://[2409:8087:280c:2020:200::2d]/wh7f454c46tw423893366_-108828025/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228989/1/index.m3u8?fmt=ts2hls&icpid=88888888&RTS=1717811248&from=9&hms_devid=514&online=1717811248&vqe=3
杭州综合,http://[2409:8087:280c:2020:200::35]/wh7f454c46tw443798477_-346234054/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230497/index.m3u8?icpid=88888888&RTS=1717811268&from=9&hms_devid=511&online=1717811268&vqe=3
